"","week","ADM1_PT","ADM2_PT","ADM1_PCODE","ADM2_PCODE","total_cases","n_days","relative_variation","total_week_cases","relative_variation_weighted"
"1","2024-08","Cabo Delgado","Ancuabe","MZ01","MZ0101",0,7,-1,66,0
"2","2024-08","Cabo Delgado","Cidade De Pemba","MZ01","MZ0104",39,7,0.344827586206897,66,0.203761755485893
"3","2024-08","Cabo Delgado","Metuge","MZ01","MZ0109",15,7,-0.166666666666667,66,-0.0378787878787879
"4","2024-08","Cabo Delgado","Namuno","MZ01","MZ0114",12,7,1,66,0.181818181818182
"5","2024-08","Manica","Cidade De Chimoio","MZ04","MZ0402",1,7,1,34,0.0294117647058824
"6","2024-08","Manica","Guro","MZ04","MZ0404",33,7,-0.459016393442623,34,-0.445515911282546
"7","2024-08","Nampula","Cidade De Nampula","MZ07","MZ0702",51,7,-0.271428571428571,132,-0.10487012987013
"8","2024-08","Nampula","Erati","MZ07","MZ0703",16,7,15,132,1.81818181818182
"9","2024-08","Nampula","Meconta","MZ07","MZ0709",57,7,0.838709677419355,132,0.36217008797654
"10","2024-08","Nampula","Mecuburi","MZ07","MZ0710",8,7,-0.466666666666667,132,-0.0282828282828283
"11","2024-08","Niassa","Chimbonila","MZ08","MZ0801",17,7,3.25,46,1.20108695652174
"12","2024-08","Niassa","Cidade De Lichinga","MZ08","MZ0802",2,7,-0.666666666666667,46,-0.0289855072463768
"13","2024-08","Niassa","Cuamba","MZ08","MZ0803",27,7,1.25,46,0.733695652173913
"14","2024-08","Sofala","Chemba","MZ09","MZ0903",9,7,1,28,0.321428571428571
"15","2024-08","Sofala","Cheringoma","MZ09","MZ0904",2,7,1,28,0.0714285714285714
"16","2024-08","Sofala","Nhamatanda","MZ09","MZ0913",17,7,16,28,9.71428571428571
"17","2024-08","Tete","Angonia","MZ10","MZ1001",1,7,-0.5,83,-0.00602409638554217
"18","2024-08","Tete","Cahora Bassa","MZ10","MZ1002",32,7,1.28571428571429,83,0.495697074010327
"19","2024-08","Tete","Cidade De Tete","MZ10","MZ1006",27,7,-0.15625,83,-0.050828313253012
"20","2024-08","Tete","Macanga","MZ10","MZ1008",6,7,-0.333333333333333,83,-0.0240963855421687
"21","2024-08","Tete","Marara","MZ10","MZ1010",17,7,-0.32,83,-0.0655421686746988
"22","2024-08","Zambezia","Alto Molocue","MZ11","MZ1101",33,7,-0.175,62,-0.0931451612903226
"23","2024-08","Zambezia","Gurue","MZ11","MZ1106",29,7,-0.0645161290322581,62,-0.0301768990634755
"24","2024-08","Zambezia","Mocuba","MZ11","MZ1114",0,7,-1,62,0
"25","2024-07","Cabo Delgado","Ancuabe","MZ01","MZ0101",3,7,-0.727272727272727,50,-0.0436363636363636
"26","2024-07","Cabo Delgado","Cidade De Pemba","MZ01","MZ0104",29,7,0.8125,50,0.47125
"27","2024-07","Cabo Delgado","Metuge","MZ01","MZ0109",18,7,0.636363636363636,50,0.229090909090909
"28","2024-07","Cabo Delgado","Namuno","MZ01","MZ0114",0,7,0,50,0
"29","2024-07","Manica","Cidade De Chimoio","MZ04","MZ0402",0,7,0,61,0
"30","2024-07","Manica","Guro","MZ04","MZ0404",61,7,4.08333333333333,61,4.08333333333333
"31","2024-07","Nampula","Cidade De Nampula","MZ07","MZ0702",70,7,-0.0540540540540541,117,-0.0323400323400323
"32","2024-07","Nampula","Erati","MZ07","MZ0703",1,7,-0.857142857142857,117,-0.00732600732600733
"33","2024-07","Nampula","Meconta","MZ07","MZ0709",31,7,-0.03125,117,-0.00827991452991453
"34","2024-07","Nampula","Mecuburi","MZ07","MZ0710",15,7,0.875,117,0.112179487179487
"35","2024-07","Niassa","Chimbonila","MZ08","MZ0801",4,7,-0.428571428571429,22,-0.0779220779220779
"36","2024-07","Niassa","Cidade De Lichinga","MZ08","MZ0802",6,7,5,22,1.36363636363636
"37","2024-07","Niassa","Cuamba","MZ08","MZ0803",12,7,0,22,0
"38","2024-07","Sofala","Chemba","MZ09","MZ0903",0,7,-1,1,0
"39","2024-07","Sofala","Cheringoma","MZ09","MZ0904",0,7,-1,1,0
"40","2024-07","Sofala","Nhamatanda","MZ09","MZ0913",1,7,1,1,1
"41","2024-07","Tete","Angonia","MZ10","MZ1001",2,7,1,82,0.024390243902439
"42","2024-07","Tete","Cahora Bassa","MZ10","MZ1002",14,7,1,82,0.170731707317073
"43","2024-07","Tete","Cidade De Tete","MZ10","MZ1006",32,7,-0.255813953488372,82,-0.0998298355076574
"44","2024-07","Tete","Macanga","MZ10","MZ1008",9,7,3.5,82,0.384146341463415
"45","2024-07","Tete","Marara","MZ10","MZ1010",25,7,-0.0740740740740741,82,-0.022583559168925
"46","2024-07","Zambezia","Alto Molocue","MZ11","MZ1101",40,7,0.25,74,0.135135135135135
"47","2024-07","Zambezia","Gurue","MZ11","MZ1106",31,7,-0.114285714285714,74,-0.0478764478764479
"48","2024-07","Zambezia","Mocuba","MZ11","MZ1114",3,7,-0.75,74,-0.0304054054054054
